Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Walton County,Georgia,13297,Outlying
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,1,,,Atlantic County,New Jersey,34001,Central
12140,,258,"Auburn, IN",Micropolitan Statistical Area,2,,"Fort Wayne-Huntington-Auburn, IN",DeKalb County,Indiana,18033,Central
12180,,532,"Auburn, NY",Micropolitan Statistical Area,2,,"Syracuse-Auburn, NY",Cayuga County,New York,36011,Central
12220,,194,"Auburn-Opelika, AL",Metropolitan Statistical Area,1,,"Columbus-Auburn-Opelika, GA-AL",Lee County,Alabama,01081,Central
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,Burke County,Georgia,13033,Outlying
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,Columbia County,Georgia,13073,Central
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,McDuffie County,Georgia,13189,Outlying
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,Richmond County,Georgia,13245,Central
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,Aiken County,South Carolina,45003,Central
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,1,,,Edgefield County,South Carolina,45037,Outlying
12300,,,"Augusta-Waterville, ME",Micropolitan Statistical Area,2,,,Kennebec County,Maine,23011,Central
12380,,,"Austin, MN",Micropolitan Statistical Area,2,,,Mower County,Minnesota,27099,Central
12420,,126,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1,,"Austin-Round Rock-Marble Falls, TX",Bastrop County,Texas,48021,Outlying
12420,,126,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1,,"Austin-Round Rock-Marble Falls, TX",Caldwell County,Texas,48055,Outlying
12420,,126,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1,,"Austin-Round Rock-Marble Falls, TX",Hays County,Texas,48209,Outlying
12420,,126,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1,,"Austin-Round Rock-Marble Falls, TX",Travis County,Texas,48453,Central
12420,,126,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,1,,"Austin-Round Rock-Marble Falls, TX",Williamson County,Texas,48491,Central
12460,,,"Bainbridge, GA",Micropolitan Statistical Area,2,,,Decatur County,Georgia,13087,Central
12540,,,"Bakersfield-Delano, CA",Metropolitan Statistical Area,1,,,Kern County,California,06029,Central
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Anne Arundel County,Maryland,24003,Central
